;sample;generation;group;gen_group;c14_0;c16_0;c16_1n7;c18_0;c18_1n9;c18_1n7;c18_2n6;c20_3n6;c20_4n6;c22_4n6;c22_5n6;c22_5n3;c22_6n3;c24_4n6;c24_5n6
F0_CTRL1;CTRL1;F0;CTRL;F0_CTRL;-0,006073698;0,210475426;0,040028865;0,162572766;-0,065802483;-0,700316638;0,095782354;-0,445811917;-0,467253775;;-0,391936623;;-0,207578847;;
F0_CTRL2;CTRL2;F0;CTRL;F0_CTRL;-0,315329861;0,1284135;0,063636695;0,171696902;-0,021446492;0,131160623;0,251839784;-0,856144081;-0,282543958;;-0,48828015;;-0,29919446;;
F0_CTRL3;CTRL3;F0;CTRL;F0_CTRL;0,630270576;-0,059236842;0,903865846;-0,105675446;-0,125789596;0,211461409;-0,02283885;0,229821269;0,298112362;;0,054431804;;0,152670282;;
F0_CTRL4;CTRL4;F0;CTRL;F0_CTRL;-0,382222704;-0,157192834;-0,364985413;-0,308593457;0,173817632;0,24620572;-0,295035375;0,624741978;0,374737576;;0,602595811;;0,31311895;;
F0_CTRL5;CTRL5;F0;CTRL;F0_CTRL;0,073355687;-0,122459249;-0,642545992;0,079999234;0,03922094;0,111488886;-0,029747913;0,447392751;0,076947796;;0,223189157;;0,040984076;;
F0_HFD1;HFD1;F0;HFD;F0_HFD;;;;;;;;;;;;;;;
F0_HFD2;HFD2;F0;HFD;F0_HFD;-0,273028656;-0,806573408;-0,324603806;-1,048173357;1,249845781;0,269894888;0,917868751;0,851309983;0,506637791;;0,331848017;;0,179827528;;
F0_HFD3;HFD3;F0;HFD;F0_HFD;;;;;;;;;;;;;;;
F0_HFD4;HFD4;F0;HFD;F0_HFD;-0,688968459;-0,721020964;-0,310556809;-1,044861142;0,702884499;0,407919562;0,72269214;0,699339543;0,892941747;;0,637003394;;0,587681578;;
F0_HFD5;HFD5;F0;HFD;F0_HFD;-0,907389266;-0,773527854;-0,412343063;-0,983327264;0,963354217;0,705688901;1,001851039;1,160642142;0,651993039;;0,406196069;;0,309499147;;
F0_HFD6;HFD6;F0;HFD;F0_HFD;;;;;;;;;;;;;;;
F0_HFDt1;HFDt1;F0;HFDt;F0_HFDt;0,03705455;-0,695438631;1,064256489;-1,043852896;0,806522722;1,037413237;0,734831702;0,38235622;0,576337026;;0,42913012;;0,582831938;;
F0_HFDt2;HFDt2;F0;HFDt;F0_HFDt;0,230207926;-0,236664138;0,137487739;-0,449610065;0,488908716;0,395032638;0,665253417;0,807204414;0,327708674;;0,127285394;;0,166392239;;
F0_HFDt3;HFDt3;F0;HFDt;F0_HFDt;-0,104449278;-0,213312409;-0,740095089;-0,269782971;0,441333218;0,355709371;0,002257286;1,152793906;0,398071387;;0,251467449;;0,124437;;
F0_HFDt4;HFDt4;F0;HFDt;F0_HFDt;-0,004608961;-0,387951021;-1,206819503;-0,369042537;0,561970653;0,516161114;0,4232048;1,13937688;0,439363284;;0,26510195;;0,306466388;;
F0_HFDt5;HFDt5;F0;HFDt;F0_HFDt;-0,083589882;-0,387533723;-1,764694252;-0,296820837;0,559291153;0,605777622;0,377431569;0,539348081;0,418623543;;0,268673479;;0,306270239;;
F1_CTRL1;CTRL1;F1;CTRL;F1_CTRL;0,1849643;-0,163007596;0,540082125;-0,008027882;0,124587124;0,021731849;0,534094036;0,101068088;-0,022597962;-0,055738905;0,109280756;0,020386757;0,161546029;0,215319935;0,012380748
